Niveau;Band;Lektion;Schritt;KB;AB;LWS;Kommunikatives;Grammatik;
A2.2;4;9;B;25;108;183–185;Gegenstände beschreiben, Anzeigen verstehen und schreiben, eine Auktion machen;Adjektivdeklination nach indefinitem Artikel (Akkusativ, Dativ);
A2.2;4;9;C;26;111;183–185;Sachen und Personen vergleichen;Komparation (gross – grösser – am grössten), Vergleichspartikel als, wie;
A2.2;4;9;D;27;113;183–185;Über das eigene Kaufverhalten sprechen, eine Statistik ergänzen;–;
A2.2;4;9;E;28–29;115;183–185;Gegenstände beschreiben, einen Text über persönliche Gegenstände verstehen;Wortbildung Adjektive -los (arbeitslos);
A2.2;4;10;FHG;34–35;–;186–188;Folge 10: «Immer im letzten Moment»;–;
A2.2;4;10;A;36;120;186–188;Unpersönliche Sachverhalte verstehen;Passiv Präsens (Das wird hineingeschrieben.);
A2.2;4;10;B;37;121;186–188;Informationen auf der Post verstehen, um Informationen bitten;Frageartikel Was für ein …?, Wortbildung Nomen -ung (die Verpackung);
A2.2;4;10;C;38;123;186–188;Gegenstände beschreiben;Adjektivdeklination nach definitem Artikel, Wortbildung Adjektive un- (uninteressant);
A2.2;4;10;D;39;126;186–188;Über das eigene Kommunikationsverhalten sprechen, eine Kursstatistik erstellen;–;
A2.2;4;10;E;40–41;127;186–188;Mailbox-Nachrichten verstehen und sprechen;–;
A2.2;4;11;FHG;46–47;–;189–193;Folge 11: «Fragen kostet nichts.»;–;
A2.2;4;11;A;48;132;189–193;Ortsangaben machen: Woher? Wo? Wohin?;Lokale Präpositionen aus, von;
A2.2;4;11;B;49;133;189–193;Wegbeschreibungen verstehen und geben;Lokale Präpositionen an … vorbei, bis zu, durch, … entlang, gegenüber, über, um … herum;
A2.2;4;11;C;50;135;189–193;Gründe und Konsequenzen nennen, Verkehrsnachrichten im Radio verstehen;Konjunktion deshalb;
A2.2;4;11;D;51;138;189–193;Verkehrsnachrichten und Berichte über das Wetter verstehen;Wortbildung Adjektive -bar, -ig, -isch (stürmisch);
A2.2;4;11;E;52–53;139;189–193;Über den Verkehr im Heimatland berichten, interkultureller Vergleich mit der Schweiz;–;
A2.2;4;12;FHG;58–59;–;194–197;Folge 12: «Die Qual der Wahl!»;–;
A2.2;4;12;A;60;145;194–197;Texte zum Thema Reiseziele verstehen, Vorschläge machen;Lokale Präpositionen an, auf, in (am Meer – ans Meer);
A2.2;4;12;B;61;147;194–197;Inserate von Unterkünften verstehen, über Vorlieben sprechen;Adjektivdeklination ohne Artikel, modale Präposition ohne (ohne lauten Verkehr);
A2.2;4;12;C;62;149;194–197;Telefongespräche im Reisebüro verstehen und spielen, etwas buchen;Temporale Präpositionen von … an, über (über eine Stunde Aufenthalt);
A2.2;4;12;D;63;151;194–197;Einladungen per Kurznachricht verstehen und schreiben;–;
A2.2;4;12;E;64–65;153;194–197;Einen Wochenendausflug planen;–;
A2.2;4;13;FHG;70–71;–;198–200;Folge 13: «Was du heute kannst besorgen, …»;–;
A2.2;4;13;A;72;158;198–200;Am Bankschalter um Informationen bitten, über Banken sprechen;Indirekte Fragen mit Fragepronomen (was, wo …);
A2.2;4;13;B;73;159;198–200;Sich über Konditionen und Zahlungswege informieren;Indirekte Fragen mit ob;
A2.2;4;13;C;74;161;198–200;Ratgeber und Informationen zu Dienstleistungen verstehen, über Dienstleistungen sprechen;Verb lassen (Sie lässt ihr Konto prüfen.);
A2.2;4;13;D;75;164;198–200;Beratungsgespräche auf der Bank verstehen, um Hilfe bitten;–;
A2.2;4;13;E;76–77;165;198–200;Gespräche rund ums Geld verstehen, ein Gespräch zum Thema Geld schreiben;–;
A2.2;4;14;FHG;82–83;–;201–203;Folge 14: «Es kommt, wie es kommen muss.»;–;
A2.2;4;14;A;84;170;201–203;Über sich selbst und wichtige Personen sprechen, persönliche Texte verstehen;Wiederholung: Perfekt und Präteritum;
A2.2;4;14;B;85;171;201–203;Streitgespräche verstehen und führen, über Konflikte sprechen;Wiederholung: Nebensätze mit wenn, weil, dass;
A2.2;4;14;C;86;173;201–203;Vorschläge machen und darauf reagieren;Wiederholung: Konjunktiv II;
A2.2;4;14;D;87;174;201–203;Schweizer Kosenamen verstehen;Diminutiv -chen, -li; Wiederholung Wortbildung (-ig, -bar, -los, un-, -ung)
A2.2;4;14;E;88–89;175;201–203;Über Wünsche und Träume sprechen;–;
B1.1;5;1;FHG;10–11;–;171–174;Folge 1: «Ellas Glückstag»;–;
B1.1;5;1;A;12;96;171–174;Schriftlich über Vergangenes berichten, Zeitungsmeldungen verstehen und schreiben;Präteritum (spielte, fuhr, brachte);
